,fecha,edad,genero,tiene_acceso_smartphone,usaria_app,usa_apps_sociales,frecuencia_problemas_seguridad,frecuencia_problemas_basura,tipos_problemas_seguridad,tipos_problemas_basura,sabe_donde_reportar,autoridades_efectivas,funciones_deseadas_app,age_range
0,2025-05-12 17:36:36,26.0,1,True,1,True,-2,-1,['Consumo de drogas'],['Falta de recolección'],False,Algo efectiva,[0],"(24, 36]"
1,2025-05-13 06:13:56,44.0,1,True,1,True,-1,-1,['Consumo de drogas'],['Falta de recolección'],False,Algo efectiva,[3],"(36, 48]"
2,2025-05-13 06:17:58,41.0,1,True,1,True,-1,-1,['Consumo de drogas'],['Falta de recolección'],False,Poca efectiva,[0],"(36, 48]"
3,2025-05-13 17:34:19,19.0,1,True,0,True,-1,1,"['Robos', 'Vandandalismo']","['Acumulación de basura', 'Quema de basura']",False,Algo efectiva,"[1, 2, 4]","(12, 24]"
4,2025-05-13 17:35:13,25.0,0,True,1,True,-1,1,"['Vandandalismo', 'Consumo de drogas', 'Violencia']","['Falta de recolección', 'Quema de basura']",False,Poca efectiva,"[0, 1, 2]","(24, 36]"
5,2025-05-13 17:37:15,26.0,1,True,-1,True,-1,1,"['Vandandalismo', 'Violencia']","['Quema de basura', 'Contenedores insuficientes']",False,Nunca e probado,"[1, 2]","(24, 36]"
6,2025-05-13 17:38:22,45.0,0,True,-1,True,-1,0,"['Robos', 'Vandandalismo']","['Acumulación de basura', 'Quema de basura']",False,Algo efectiva,"[0, 1]","(36, 48]"
7,2025-05-13 17:57:17,48.0,0,True,1,True,-1,1,"['Robos', 'Vandandalismo', 'Consumo de drogas', 'Violencia']","['Acumulación de basura', 'Quema de basura']",False,Poca efectiva,"[0, 3]","(36, 48]"
8,2025-05-13 17:58:11,26.0,1,True,1,True,1,1,"['Robos', 'Consumo de drogas', 'Violencia']","['Acumulación de basura', 'Falta de recolección', 'Quema de basura', 'Contenedores insuficientes']",False,Nunca e probado,[0],"(24, 36]"
9,2025-05-13 18:02:34,18.0,0,True,1,True,1,1,['Consumo de drogas'],['Acumulación de basura'],False,Nunca e probado,[3],"(12, 24]"
10,2025-05-13 18:23:05,26.0,1,True,0,True,-1,1,"['Vandandalismo', 'Consumo de drogas']","['Acumulación de basura', 'Quema de basura']",False,Nunca e probado,"[0, 4]","(24, 36]"
11,2025-05-13 20:01:01,21.0,1,True,1,True,-1,1,"['Robos', 'Vandandalismo', 'Consumo de drogas', 'Violencia']","['Acumulación de basura', 'Falta de recolección', 'Quema de basura', 'Contenedores insuficientes']",False,Poca efectiva,"[0, 1, 2, 3, 4]","(12, 24]"
12,2025-05-13 20:02:09,21.0,1,True,1,True,0,-1,['Otros___'],"['Acumulación de basura', 'Falta de recolección', 'Contenedores insuficientes']",False,Nada efectiva,"[0, 1, 2, 3, 4]","(12, 24]"
13,2025-05-13 20:03:00,26.0,0,True,1,True,1,2,"['Robos', 'Vandandalismo', 'Consumo de drogas', 'Violencia', 'Otros___']","['Acumulación de basura', 'Quema de basura', 'Contenedores insuficientes']",False,Nada efectiva,"[0, 1, 2, 3, 4]","(24, 36]"
14,2025-05-13 20:03:01,19.0,1,True,1,True,-1,2,"['Robos', 'Violencia']","['Acumulación de basura', 'Falta de recolección']",False,Nunca e probado,"[0, 1, 2, 3]","(12, 24]"
15,2025-05-13 20:05:58,20.0,0,True,1,True,-1,-1,"['Vandandalismo', 'Consumo de drogas']",['Falta de recolección'],False,Poca efectiva,[1],"(12, 24]"
16,2025-05-13 20:06:11,21.0,1,True,0,True,0,1,"['Robos', 'Vandandalismo', 'Consumo de drogas', 'Violencia', 'Otros___']",['Acumulación de basura'],False,Nada efectiva,"[0, 3]","(12, 24]"
17,2025-05-13 20:06:33,22.0,1,True,1,True,1,1,"['Robos', 'Vandandalismo', 'Consumo de drogas', 'Violencia']","['Acumulación de basura', 'Falta de recolección', 'Contenedores insuficientes']",False,Nada efectiva,"[0, 1, 3]","(12, 24]"
18,2025-05-13 20:14:58,17.0,1,True,1,True,-1,1,"['Robos', 'Consumo de drogas']","['Falta de recolección', 'Contenedores insuficientes']",False,Nada efectiva,"[0, 3, 4]","(12, 24]"
19,2025-05-13 20:48:58,18.0,0,True,0,True,-2,2,"['Vandandalismo', 'Consumo de drogas']",['Acumulación de basura'],False,Nunca e probado,"[0, 3]","(12, 24]"
20,2025-05-13 23:08:23,19.0,0,False,0,True,-2,-2,['Robos'],['Quema de basura'],False,Nada efectiva,[2],"(12, 24]"
21,2025-05-13 23:09:25,20.0,0,True,1,True,1,1,['Consumo de drogas'],['Falta de recolección'],False,Poca efectiva,[0],"(12, 24]"
22,2025-05-14 09:14:01,22.0,0,True,1,True,1,1,"['Robos', 'Vandandalismo', 'Violencia']","['Acumulación de basura', 'Falta de recolección', 'Quema de basura']",False,Algo efectiva,"[0, 1, 2, 3, 4]","(12, 24]"
